,Local,Área plantada (Hectares),Área colhida (Hectares),Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais)
146,Jandaia do Sul,10381.0,9661.0,..,..,66993.0
147,Marilândia do Sul,43514.0,43514.0,..,..,379469.0
148,Mauá da Serra,8282.0,8282.0,..,..,70582.0
149,Novo Itacolomi,7295.0,7295.0,..,..,48347.0
150,Sabáudia,17865.0,17565.0,..,..,106891.0
151,Londrina,329596.0,320146.0,..,..,2119411.0
152,Cambé,73635.0,70185.0,..,..,463845.0
153,Ibiporã,33006.0,32106.0,..,..,197610.0
154,Londrina,127178.0,125428.0,..,..,800514.0
155,Pitangueiras,16214.0,14114.0,..,..,88126.0
156,Rolândia,53302.0,52052.0,..,..,349154.0
157,Tamarana,26261.0,26261.0,..,..,220161.0
158,Faxinal,124593.0,124593.0,..,..,864638.0
159,Bom Sucesso,15732.0,15732.0,..,..,117490.0
160,Borrazópolis,25199.0,25199.0,..,..,158272.0
161,Cruzmaltina,13660.0,13660.0,..,..,98406.0
162,Faxinal,27304.0,27304.0,..,..,188822.0
163,Kaloré,21775.0,21775.0,..,..,144265.0
164,Marumbi,7828.0,7828.0,..,..,62245.0
165,Rio Bom,13095.0,13095.0,..,..,95139.0
166,Ivaiporã,341407.0,338367.0,..,..,2312673.0
167,Arapuã,26570.0,26570.0,..,..,170304.0
168,Ariranha do Ivaí,25214.0,25214.0,..,..,166830.0
169,Cândido de Abreu,36041.0,36041.0,..,..,246771.0
170,Godoy Moreira,7230.0,7230.0,..,..,56850.0
171,Grandes Rios,7358.0,7358.0,..,..,46848.0
172,Ivaiporã,32668.0,32668.0,..,..,230177.0
173,Jardim Alegre,21153.0,21153.0,..,..,142049.0
174,Lidianópolis,11631.0,11631.0,..,..,84183.0
175,Lunardelli,9926.0,9926.0,..,..,91669.0
176,Manoel Ribas,53730.0,50730.0,..,..,336853.0
177,Nova Tebas,21721.0,21721.0,..,..,130568.0
178,Rio Branco do Ivaí,15184.0,15184.0,..,..,86043.0
179,Rosário do Ivaí,5874.0,5834.0,..,..,41768.0
180,São João do Ivaí,38144.0,38144.0,..,..,288306.0
181,São Pedro do Ivaí,28963.0,28963.0,..,..,193457.0
182,Norte Pioneiro Paranaense,1056967.0,1056467.0,..,..,7629860.0
183,Assaí,200610.0,200110.0,..,..,1420899.0
184,Assaí,45179.0,44929.0,..,..,293672.0
185,Jataizinho,17630.0,17380.0,..,..,99145.0
186,Nova Santa Bárbara,9014.0,9014.0,..,..,65198.0
187,Rancho Alegre,25336.0,25336.0,..,..,191448.0
188,Santa Cecília do Pavão,11269.0,11269.0,..,..,81366.0
189,São Jerônimo da Serra,38699.0,38699.0,..,..,258531.0
190,São Sebastião da Amoreira,30934.0,30934.0,..,..,248717.0
191,Uraí,22549.0,22549.0,..,..,182823.0
192,Cornélio Procópio,471322.0,471322.0,..,..,3272190.0
193,Abatiá,10851.0,10851.0,..,..,74601.0
194,Andirá,33878.0,33878.0,..,..,187870.0
195,Bandeirantes,43064.0,43064.0,..,..,316054.0
196,Congonhinhas,38548.0,38548.0,..,..,227982.0
197,Cornélio Procópio,70442.0,70442.0,..,..,489941.0
198,Itambaracá,28911.0,28911.0,..,..,205202.0
199,Leópolis,43618.0,43618.0,..,..,307128.0
200,Nova América da Colina,11671.0,11671.0,..,..,83552.0
201,Nova Fátima,31735.0,31735.0,..,..,218309.0
202,Ribeirão do Pinhal,13187.0,13187.0,..,..,94353.0
203,Santa Amélia,6959.0,6959.0,..,..,51802.0
204,Santa Mariana,61143.0,61143.0,..,..,423472.0
205,Santo Antônio do Paraíso,15300.0,15300.0,..,..,105509.0
206,Sertaneja,62015.0,62015.0,..,..,486414.0
207,Jacarezinho,147789.0,147789.0,..,..,1135249.0
208,Barra do Jacaré,13380.0,13380.0,..,..,98577.0
209,Cambará,46864.0,46864.0,..,..,356894.0
210,Jacarezinho,30054.0,30054.0,..,..,244217.0
211,Jundiaí do Sul,15018.0,15018.0,..,..,117010.0
212,Ribeirão Claro,5351.0,5351.0,..,..,36929.0
213,Santo Antônio da Platina,37122.0,37122.0,..,..,281625.0
214,Ibaiti,92577.0,92577.0,..,..,649475.0
215,Conselheiro Mairinck,17823.0,17823.0,..,..,121132.0
216,Curiúva,10830.0,10830.0,..,..,93807.0
217,Figueira,2847.0,2847.0,..,..,22422.0
218,Ibaiti,24765.0,24765.0,..,..,164065.0
219,Jaboti,8411.0,8411.0,..,..,65794.0
220,Japira,10562.0,10562.0,..,..,73323.0
221,Pinhalão,9930.0,9930.0,..,..,62659.0
222,Sapopema,7409.0,7409.0,..,..,46274.0
223,Wenceslau Braz,144669.0,144669.0,..,..,1152046.0
224,Carlópolis,3763.0,3763.0,..,..,32206.0
225,Guapirama,13108.0,13108.0,..,..,95747.0
226,Joaquim Távora,5211.0,5211.0,..,..,39986.0
227,Quatiguá,2988.0,2988.0,..,..,19343.0
228,Salto do Itararé,6485.0,6485.0,..,..,47004.0
229,Santana do Itararé,18210.0,18210.0,..,..,137550.0
230,São José da Boa Vista,30970.0,30970.0,..,..,244993.0
231,Siqueira Campos,12131.0,12131.0,..,..,92400.0
232,Tomazina,16852.0,16852.0,..,..,150087.0
233,Wenceslau Braz,34951.0,34951.0,..,..,292734.0
234,Centro Oriental Paranaense,857435.0,854285.0,..,..,6073678.0
235,Telêmaco Borba,316018.0,314678.0,..,..,2730438.0
236,Imbaú,5181.0,5181.0,..,..,42483.0
237,Ortigueira,55956.0,55956.0,..,..,491676.0
238,Reserva,40773.0,40643.0,..,..,369239.0
239,Telêmaco Borba,896.0,896.0,..,..,6870.0
240,Tibagi,175382.0,174172.0,..,..,1500687.0
241,Ventania,37830.0,37830.0,..,..,319481.0
242,Jaguariaíva,190548.0,188738.0,..,..,1581944.0
243,Arapoti,63843.0,62963.0,..,..,515242.0
244,Jaguariaíva,42968.0,42768.0,..,..,346886.0
245,Piraí do Sul,62489.0,61859.0,..,..,545229.0
246,Sengés,21248.0,21148.0,..,..,174587.0
247,Ponta Grossa,350869.0,350869.0,..,..,1761296.0
248,Carambeí,45558.0,45558.0,..,..,211693.0
249,Castro,114593.0,114593.0,..,..,562300.0
250,Palmeira,90322.0,90322.0,..,..,496901.0
